I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
5,5,4,5,5,critical thinking: Battery Technician: Economics,Cell production,Masters,Chemistry,United States,36549,126000,70,71,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,1,1,126000,Bonuses (based on company performance),1,1,15,Component/precursor production,Scale-up (rapid growth),United States,Alabama,40,"5,001-10,000",1-10,Head of Advanced Battery Separator Group,"Engineering and design, Investor, IT infrastructure, Facilities, Finance, Legal, Managing people, Managing projects or programs, Marketing, Manufacturing and production, New product introduction (NPI), Product design, Quality, Recruiting, Research and development, Sales and services, Strategy and planning, Testing and validation",Manager,Learning and skills development,"Yes, in a different role",Director of Sales & Marketing for Specialty Papers Division of GP,5,5,5,5,"Learning on the job, Self directed study",University Chemistry programs regarding batteries did not exist when I graduated in 1976. I had to learn battery chemistry on my own,0,determination; perserverance; UNC's chemistry program,Technical Sales; anything pertaining to batteries; ?,High salaries; competition for talent; employee exepctations,0,FALSE,5,5,5,5,"Salary, bonuses, Career growth opportunities, Work-life balance",Not looking,4,3,2,1,"Healthcare coverage or stipend, Retirement account funding or match",0,15,10,No,,,,,,,,,,,,,,,,,12/15/2024 21:43:49,ijnncve50l9d5038n7u9ijnncv7og9ja
3,2,5,3,1,[Manufacturing at scale]; [Business strategy]; [Materials Science];,"Energy infrastructure, Recycling, Mining",Doctorate,Materials Science and Engineering,United States,02141,165000,40,42,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,3,165000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,1,3,"Cell production, Software",Startup (early growth),United States,Massachusetts,3,101-250,1-10,Project Scientist,"Engineering and design, Managing people, Managing projects or programs, Research and development, Software development",Senior,"Desirable work location, Challenge and innovation, Work-life balance","Yes, in a similar role",,3,4,5,5,"Learning on the job, Peer mentors",More hands-on skills,0,Experience; Education; Scientific Curiosity;,Leadership; Managers; Technicians;,,1,TRUE,2,1,1,2,"Salary, bonuses, Career growth opportunities, Company culture, Equity",,3,4,4,2,"Healthcare coverage or stipend, Retirement account funding or match",2,3,5,,,,,,,,,,,,,,,,,,12/15/2024 22:11:21,opzjssh9gwom5l863uopzjss0pweh6l3
1,1,1,1,1,"Power mgmt, safety,  R&D","Module/pack production, Cell production, Finance",Masters,Finance and Accounting,United States,85207,5000,0,57,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,5,3,5,320000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.), Health and wellness stipends, Education or tuition reimbursement, Childcare expense reimbursement",0,,1,"Product integration (vehicles, mobility)",Startup (early growth),United States,California,5,"501-1,000",11-20,,Finance,Director/VP,"Challenge and innovation, Learning and skills development, Sustainability and impact, Competitive salary and benefits, Hybrid/remote work, Supportive team and environment",No,,3,3,4,5,"Learning on the job, Formal training programs, Peer mentors",More hands-on skills,0,"Leadership,  planning",,,3,TRUE,1,1,,1,"Salary, bonuses, Job stability, Equity, Vacation time, Perks, Work location flexibility, Company culture",,1,1,1,1,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Educational, tuition, or continued education stipend",,3,10,,,,,,,,,,,,,,,,,,12/15/2024 22:14:35,x8ex8kbcbrk4iux8emn46vbxyz7ti52g
3,2,3,3,3,Pack design; cell testing; process design,"Software, Cell production, Module/pack production",Masters,Chemical Engineering,United States,63130,130000,50,32,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,110000,"Bonuses (based on individual performance), Bonuses (based on company performance), Bonuses (based on retention)",1,2,5,"Product integration (vehicles, mobility)",Established (significant market presence),United States,Michigan,0,"100,000+",11-20,Battery System Engineer,"Engineering and design, Testing and validation, Research and development",Senior,"Desirable work location, Autonomy and independence, Job security","Yes, in a different role",Chemical Process Engineer,3,3,2,4,Learning on the job,"Better understanding of culture and norms, More hands-on skills",0,Fast learner; analytical mindset; detail-oriented,Subject Matter Experts,Immature and/or limited talent pool; insufficient compensation,0,TRUE,2,2,4,3,"Salary, bonuses, Career growth opportunities, Company culture, Work location flexibility, Job stability",,2,2,2,2,"Healthcare coverage or stipend, Retirement account funding or match",12,4,5,,,,,,,,,,,,,,,,,,12/15/2024 22:27:55,z7uraqpz1y5eo2qz7uraqccf4dwrzw7i
4,4,3,4,4,"Understanding battery chemistry , degradation, market dynamics","Cell production, Software, Product integration (stationary storage)",Doctorate,Electrical Engineering,Australia,2113,200000,7,35,"Middle Eastern or North African, Decline to answer",Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 22:59:59,1mgrb6h2074baa6g1mgrgsklup6akygt
3,5,2,5,4,1. Sales don't know how to sell it. 2.,Consulting,Associates (community college),Engineering Technology,United States,55076,120000,55,68,White,Male,,Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,3,120000,"Bonuses (based on company performance), Equity (stock, options, etc.), Health and wellness stipends",0,1,5,Energy infrastructure,Startup (early growth),United States,Minnesota,4,11-50,1-10,"Part Owner, business development, electrician","Engineering and design, Finance, Legal, Managing people, Managing projects or programs, Marketing, Sales and services, Strategy and planning, Supply chain",Senior,"Challenge and innovation, Career growth opportunities, Hybrid/remote work, Learning and skills development, Supportive team and environment, Sustainability and impact",No,,3,3,3,4,"Learning on the job, Formal training programs, Peer mentors","Better foundational knowledge, More hands-on skills",0,1. Electrical background 2. Understanding of the renewable energy industry 3. I had a wide knowledge base t,"Sales, licensed electricians that are good at what they do and want to grow","Our pipeline of projects should be better, l",0,FALSE,5,5,4,3,I'm getting close to retirement and am not looking for another job.,If it were looking i would need to be in a leadership position and would do more business development w people that have a team that is all encompassing and well funded,4,3,3,5,"Healthcare coverage or stipend, Meal stipend, Educational, tuition, or continued education stipend",0,1,5,I have a lot of freedom,,,,,,,,,,,,,,,,,12/15/2024 23:03:12,x5nc69z5xq2kl39lsx5nuazaubpuuuhq
5,4,3,4,4,"Failure mode and effect analysis, Electrochemistry and modelling, HV technicians","Refining, Cell production, Recycling",Doctorate,Chemistry,United Kingdom,YO26,70000,40,36,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,4,,"Bonuses (based on individual performance), Bonuses (based on company performance), Health and wellness stipends",2,1,8,"Consulting, research",Scale-up (rapid growth),United Kingdom,,3,"501-1,000",21-50,,"Managing projects or programs, Managing people, Sales and services, Research and development, Strategy and planning",Expert,"Career growth opportunities, Desirable work location, Learning and skills development, Challenge and innovation",No,,3,3,4,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,"Generalism, open mindedness, collaboration",electrochemists,"compensation, industry knowledge availability",0,TRUE,3,3,4,4,"Salary, bonuses, Job stability, Vacation time, Perks, Total hours worked, Work location flexibility",,3,3,3,4,Healthcare coverage or stipend,2,5,,,,,,,,,,,,,,,,,,,12/15/2024 23:07:39,ecbg0aq5ggdg1s63xf11ecbg0af9bfwt
5,5,2,5,5,Network; experience; business development,"Product integration (stationary storage), Product integration (electronics), Energy infrastructure",Bachelors,Economics,United States,94577,330000,60,41,White,Female,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,3,2,300000,Bonuses (based on individual performance),0,1,1,"Cell production, Module/pack production, Product integration (stationary storage), Component/precursor production",Established (significant market presence),United States,California,5,"25,001-50,000",1-10,Managing Director,"Managing projects or programs, New product introduction (NPI), Sales and services, Strategy and planning, Recruiting, Legal, Managing people",Director/VP,"Career growth opportunities, Learning and skills development, Competitive salary and benefits","Yes, in a similar role",,2,4,5,5,Learning on the job,"Better understanding of culture and norms, More hands-on skills, Better foundational knowledge",1,International; network; business development,Sales,Culture,3,FALSE,2,5,3,5,"Salary, bonuses, Job stability, Career growth opportunities, Work location flexibility",,1,1,1,3,"Healthcare coverage or stipend, Retirement account funding or match, Meal stipend",12,2,8,Free healthcare plan,,,,,,,,,,,,,,,,,12/15/2024 23:27:32,noeonx9zwebwjpmhnoeov25ul621144z
4,4,3,4,5,Battery Systems Engineering; Software Development; Asset Management,"Product integration (stationary storage), Recycling, Software",Doctorate,Mechanical Engineering,Sweden,18155,1200000,60,41,Black or African American,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,3,1000000,"Bonuses (based on individual performance), Advisory roles",1,1,2,Product integration (stationary storage),Scale-up (rapid growth),Sweden,,3,11-50,1-10,CTO,"Engineering and design, New product introduction (NPI), Research and development, Software development, Software integration, Supply chain, Testing and validation, Quality, Recruiting, Managing people, IT infrastructure",Executive,"Sustainability and impact, Challenge and innovation, Career growth opportunities, Learning and skills development, Autonomy and independence","Yes, in a similar role",,4,4,4,5,Learning on the job,"Better foundational knowledge, More hands-on skills",1,"People leadership, techno-economics, communication","Electrical engineering, control systems, compliance","Lack of competence, instability in the industry, competition for few skilled candidates",1,TRUE,4,4,3,2,"Job stability, Equity, Total hours worked, Company culture, Career growth opportunities",,3,2,2,3,"Retirement account funding or match, Gym or physical wellness stipend, Educational, tuition, or continued education stipend",52,6,300,,,,,,,,,,,,,,,,,,12/15/2024 23:31:20,casz7fikc8qxut8qai114casz7fidpnn
4,3,3,4,3,Sustainability; Innovation; Systems Thinking,"Cell production, Recycling, Energy infrastructure",Bachelors,Computer Science,United States,92105,90000,40,42,"Hispanic, Latino, or Spanish origin, Asian",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 23:55:51,1fje1l762pbo2o2x4d81fje0cze1joto
2,2,5,1,1,"cell chemistry modeling, Machine learning, system modeling","Recycling, Mining, Consulting",Doctorate,Mechanical Engineering,United States,92504,,40,,Asian,Female,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/16/2024 0:08:04,kcrg8i6eoo6ihvnkcr97h7cko9xqjbvx
5,5,4,4,4,"[Data Analysis],[DoE],[Physics]","Cell production, Module/pack production, Product integration (vehicles, mobility)",Masters,Engineering (Other),United States,95132,110000,50,33,"Hispanic, Latino, or Spanish origin",Female,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,4,100000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Health and wellness stipends",1,1,3,"Cell production, Module/pack production, Product integration (vehicles, mobility)",Established (significant market presence),United States,,5,"100,000+",1-10,Cell Manufacturing Engineer,"Manufacturing and production, Research and development",Career,"Learning and skills development, Job security, Challenge and innovation, Sustainability and impact","Yes, in a similar role",,1,2,3,4,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",1,"[DoE],[Python Programming],[Data Analysis]","Cell Engineer, Equipment Engineer, Battery Researcher","Lack of Battery Major, Lack of Industry in the USA",0,FALSE,4,4,4,4,"Salary, bonuses, Equity, Career growth opportunities, Work location flexibility, Visa sponsorship","geography, benefits, money, role",4,2,4,4,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Educational, tuition, or continued education stipend",16,2,5,"Work from Home, Health Insurance, Retirement Match",,,,,,,,,,,,,,,,,12/16/2024 0:56:51,e72ershzs85yuxj1zsnr5e72ehsxnoy4
5,4,2,4,4,"anode electrode development, electrode/cell manufacturing (in the US), teamwork and collaboration.","Cell production, Product integration (stationary storage), Recycling",Bachelors,Chemical Engineering,United States,94114,110000,50,26,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,2,98000,"Equity (stock, options, etc.)",1,1,3,"Cell production, Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage), Energy infrastructure, Software",Established (significant market presence),United States,California,5,"100,000+",21-50,Associate Cell Engineer,"Engineering and design, Managing people, Managing projects or programs, Research and development",Developing,"Challenge and innovation, Desirable work location, Sustainability and impact, Supportive team and environment, Learning and skills development",No,,2,3,3,4,"Learning on the job, Peer mentors",Better foundational knowledge,1,"Team leadership skills, mentorship of peers, inter-team collaboration",,,0,FALSE,4,3,3,4,"Salary, bonuses, Job stability, Career growth opportunities, Company culture",,1,2,2,3,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Gym or physical wellness stipend, Educational, tuition, or continued education stipend",6,21,10,,,,,,,,,,,,,,,,,,12/16/2024 0:59:49,sw0q4a3aqw1sesw0q414irfsm41br9n4
4,3,3,3,4,"Laboratory skills, Data Analytical skills, Communication","Cell production, Recycling, Product integration (vehicles, mobility)",Masters,Chemistry,United States,94538,100000,45,26,Asian,Female,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,2,107000,,0,0,1,Cell production,Startup (early growth),United States,California,5,11-50,1-10,Research Engineer,"Manufacturing and production, Research and development",Developing,"Supportive team and environment, Sustainability and impact","Yes, in a similar role",,2,2,4,4,Learning on the job,"More hands-on skills, Better foundational knowledge",1,Laboratory skills,,Low budget,1,FALSE,3,4,3,3,,Better pay and resources,2,3,2,3,"Retirement account funding or match, Healthcare coverage or stipend",,2,5,,,,,,,,,,,,,,,,,,12/16/2024 1:34:38,kpho4hi1pgv0xg4lkph828rxnc3d00dj
4,4,2,3,4,"DOE, scale-up, data analysis","Cell production, Energy infrastructure, Equipment manufacturing",Masters,,United States,92126,110000,50,25,White,Male,,No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,5,2,105000,"Bonuses (based on individual performance), Equity (stock, options, etc.)",1,1,3,"Component/precursor production, Consulting, Equipment manufacturing",Startup (early growth),United States,California,5,101-250,11-20,Process Engineer,"Engineering and design, Managing projects or programs, Quality, Research and development, Sales and services, Strategy and planning, Testing and validation",Career,"Career growth opportunities, Desirable work location, Challenge and innovation, Learning and skills development",No,,3,4,5,5,"Learning on the job, Peer mentors",Better foundational knowledge,1,"Troubleshooting, question formulation, communication",High quality managers with technical expertise,Internal politics,1,TRUE,3,2,3,3,"Salary, bonuses, Job stability, Equity, Vacation time, Perks, Career growth opportunities, Total hours worked, Company culture",,2,1,2,2,"Healthcare coverage or stipend, Retirement account funding or match, Educational, tuition, or continued education stipend",,3,5,,,,,,,,,,,,,,,,,,12/16/2024 1:35:10,23sv4qaedog6vs8r55b23se2857rwml4
4,3,3,4,3,problem solving skills; creative and intuitive solutions; thinking outside the box;,All across. There are too many things that need different approach.,Associates (community college),Engineering Technician,United States,48114,25000,5,45,White,Male,Citizen (foreign-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,5,2,5,140000,Bonuses (based on company performance),0,2,1,"Module/pack production, Product integration (electronics), Software, Cell production",Startup (early growth),United States,Michigan,45,251-500,1-10,Senior test engineer,Testing and validation,Career,"Challenge and innovation, Career growth opportunities, Learning and skills development","Yes, in a different role",ICT Test Enginner; project engineer,1,2,3,5,Learning on the job and great colleagues.,Better foundational knowledge,0,"electrical, electronic knowledge; project managment; testing knowledge",test engineer; system engineer; hardware engineer,hiring on set based rules; lack of management creativity,3,TRUE,4,4,1,2,"Job stability, Salary, bonuses, Career growth opportunities, Vacation time",Creative growth; stability; money,3,4,3,3,"Healthcare coverage or stipend, Retirement account funding or match",30,2,5,lunch meal,,,,,,,,,,,,,,,,,12/16/2024 1:36:57,fisu0hduupcx5fisuhh5z0babtbueb7l
